"postcode","postcode_space","postcode area","Average download speed (Mbit/s)","Maximum download speed (Mbit/s)","Minimum download speed (Mbit/s)","Average upload speed (Mbit/s)","Maximum upload speed (Mbit/s)","Minimum upload speed (Mbit/s)","Average data usage (GB)","All Premises","Connected Premises","lsoa_area","city"
"PL51NF","PL5 1NF","PL",4.60116216459055,5.30330490805908,1.19392246847243,2.02814824729229,2.56494935746154,0.641853886172395,5.5834963087817,26,26,"Plymouth 009G","Plymouth"
"PL51NG","PL5 1NG","PL",3.8649313978943,4.61512051684126,2.72785282839839,1.7227665977411,2.39789527279837,0.693147180559945,5.28826703069454,20,20,"Plymouth 009G","Plymouth"
"PL51NH","PL5 1NH","PL",3.14845336057165,3.21486780347066,3.07731226054641,0.78845736036427,0.832909122935104,0.741937344729377,5.59098698051086,6,6,"Plymouth 009G","Plymouth"
"PL51NJ","PL5 1NJ","PL",4.36691299686383,5.30330490805908,1.33500106673234,1.94591014905531,2.56494935746154,0.336472236621213,5.20948615284142,19,19,"Plymouth 009G","Plymouth"
"PL51NL","PL5 1NL","PL",4.37701409285034,5.30330490805908,3.08190996979504,2.30258509299405,3.04452243772342,0.741937344729377,5.05624580534831,24,24,"Plymouth 009G","Plymouth"
"PL51NN","PL5 1NN","PL",3.8155121050473,4.67562864963665,2.85070650150373,1.25276296849537,1.94591014905531,0.641853886172395,5.45958551414416,14,14,"Plymouth 009G","Plymouth"
"PL51NP","PL5 1NP","PL",4.58394654953646,5.30330490805908,2.70805020110221,2.21920348405499,3.04452243772342,0.641853886172395,5.59471137960184,20,20,"Plymouth 009G","Plymouth"
"PL51NQ","PL5 1NQ","PL",4.12066187053947,4.67562864963665,2.34180580614733,1.54756250871601,1.94591014905531,0.336472236621213,4.17438726989564,6,6,"Plymouth 009G","Plymouth"
"PL51NR","PL5 1NR","PL",4.05698877567833,4.61512051684126,2.21920348405499,1.98787434815435,3.04452243772342,0.470003629245736,5.04342511691925,20,20,"Plymouth 009G","Plymouth"
"PL51NS","PL5 1NS","PL",4.61412992735956,5.70711026474888,2.15176220325946,2.09186406167839,3.04452243772342,0.53062825106217,4.55387689160054,20,20,"Plymouth 009G","Plymouth"
"PL51NT","PL5 1NT","PL",4.45201900649392,5.30330490805908,2.79728133483015,1.91692261218206,2.56494935746154,0.741937344729377,5.07517381523383,20,20,"Plymouth 009G","Plymouth"
"PL51NU","PL5 1NU","PL",4.53474772169155,5.30330490805908,2.04122032885964,2.10413415427021,3.04452243772342,0.832909122935104,5.20948615284142,7,7,"Plymouth 009G","Plymouth"
"PL51NW","PL5 1NW","PL",3.30321697330195,3.71357206670431,2.85647020622048,1.6094379124341,2.39789527279837,0.641853886172395,4.35670882668959,14,14,"Plymouth 009G","Plymouth"
"PL51NY","PL5 1NY","PL",4.33990170837321,5.30330490805908,2.37954613413017,2.00148000021012,3.04452243772342,0.470003629245736,5.2040066870768,40,40,"Plymouth 009G","Plymouth"
"PL51NZ","PL5 1NZ","PL",4.09767235231478,5.30330490805908,3.07269331469012,1.70474809223843,2.56494935746154,0.78845736036427,5.74939298590825,12,12,"Plymouth 009G","Plymouth"
"PL51PA","PL5 1PA","PL",4.33467293829041,5.30330490805908,2.94443897916644,1.85629799036563,2.56494935746154,0.693147180559945,5.61677109766657,36,36,"Plymouth 009G","Plymouth"
"PL51PB","PL5 1PB","PL",4.56434819146784,5.30330490805908,2.30258509299405,2.02814824729229,2.56494935746154,0.587786664902119,5.19849703126583,21,21,"Plymouth 009G","Plymouth"
"PL51PD","PL5 1PD","PL",3.66612246699132,4.67562864963665,2.59525470695687,1.3609765531356,2.3887627892351,0.336472236621213,5.31320597904179,16,16,"Plymouth 009G","Plymouth"
"PL51PE","PL5 1PE","PL",4.22683374526818,5.30330490805908,2.12823170584927,2.10413415427021,3.04452243772342,0.336472236621213,4.53259949315326,14,14,"Plymouth 009G","Plymouth"
"PL51PF","PL5 1PF","PL",4.1026433650368,4.61512051684126,2.76000994003292,1.50407739677627,1.94591014905531,0.693147180559945,4.40671924726425,14,14,"Plymouth 009G","Plymouth"
"PL51PG","PL5 1PG","PL",4.27666611901606,5.30330490805908,1.1314021114911,1.80828877117927,2.56494935746154,0.587786664902119,4.54329478227,40,40,"Plymouth 009G","Plymouth"
"PL51PH","PL5 1PH","PL",3.85651029549789,5.30330490805908,2.45100509811232,1.7404661748405,2.56494935746154,0.53062825106217,5.26269018890489,20,20,"Plymouth 009G","Plymouth"
"PL51PJ","PL5 1PJ","PL",4.29456060889261,5.30330490805908,2.68784749378469,1.94591014905531,2.56494935746154,0.53062825106217,5.35185813347607,37,37,"Plymouth 009G","Plymouth"
"PL51PP","PL5 1PP","PL",4.12228393091134,5.70711026474888,2.28238238567653,1.91692261218206,3.04452243772342,0.336472236621213,5.42053499927229,70,70,"Plymouth 009C","Plymouth"
"PL51PQ","PL5 1PQ","PL",3.76815263500844,4.67562864963665,2.87919845729804,1.52605630349505,2.02814824729229,0.741937344729377,3.13549421592915,6,6,"Plymouth 009G","Plymouth"
"PL51PR","PL5 1PR","PL",4.43319492124828,5.30330490805908,2.64617479738412,2.2082744135228,3.04452243772342,0.53062825106217,6.03548143252476,49,49,"Plymouth 009F","Plymouth"
"PL51PS","PL5 1PS","PL",4.4320065669789,5.30330490805908,2.28238238567653,1.82454929205105,2.56494935746154,0.336472236621213,5.83188247728352,34,34,"Plymouth 009F","Plymouth"
"PL51PT","PL5 1PT","PL",4.20469261939097,5.30330490805908,2.67414864942653,1.90210752639692,3.04452243772342,0.587786664902119,5.15905529921453,24,24,"Plymouth 009F","Plymouth"
"PL51PU","PL5 1PU","PL",4.32941668440158,5.30330490805908,2.51769647261099,2.18605127673809,3.00568260440716,0.587786664902119,6.0330862217988,16,16,"Plymouth 009C","Plymouth"
"PL51PX","PL5 1PX","PL",4.08597631255158,5.30330490805908,2.32238772029023,1.75785791755237,3.04452243772342,0.53062825106217,6.02102334934953,26,26,"Plymouth 009F","Plymouth"
"PL51PY","PL5 1PY","PL",4.19268046294296,5.30330490805908,2.72785282839839,1.66770682055808,2.56494935746154,0.587786664902119,6.56526497003536,15,15,"Plymouth 009F","Plymouth"
"PL51PZ","PL5 1PZ","PL",4.28908863901461,5.30330490805908,2.88480071284671,1.88706964903238,3.03013370027132,0.78845736036427,6.05443934626937,32,32,"Plymouth 009F","Plymouth"
"PL51QA","PL5 1QA","PL",4.4224485491728,5.30330490805908,2.43361335540045,2.05412373369555,3.04452243772342,0.587786664902119,5.36129216570943,49,49,"Plymouth 009F","Plymouth"
"PL51QB","PL5 1QB","PL",4.35156742718917,5.30330490805908,3.00071981506503,1.91692261218206,3.00568260440716,0.741937344729377,5.20948615284142,52,52,"Plymouth 009F","Plymouth"
"PL51QD","PL5 1QD","PL",4.44500143383527,5.30330490805908,1.09861228866811,2.34180580614733,3.04452243772342,0.336472236621213,5.76519110278484,12,12,"Plymouth 009F","Plymouth"
"PL51QE","PL5 1QE","PL",4.30676415017333,5.30330490805908,2.2082744135228,1.98787434815435,3.04452243772342,0.587786664902119,5.95324333428778,49,49,"Plymouth 009F","Plymouth"
"PL51QF","PL5 1QF","PL",3.69635146895264,4.67562864963665,2.2082744135228,1.25276296849537,1.94591014905531,0.641853886172395,5.4380793089232,10,10,"Plymouth 009F","Plymouth"
"PL51QG","PL5 1QG","PL",4.4042772436087,5.30330490805908,2.51769647261099,1.96009478404727,2.56494935746154,0.470003629245736,5.95064255258773,38,38,"Plymouth 009F","Plymouth"
"PL51QH","PL5 1QH","PL",3.61091791264422,4.35156742718917,2.89037175789616,1.85629799036563,3.04452243772342,0.693147180559945,5.44241771052179,17,17,"Plymouth 009D","Plymouth"
