"postcode","postcode_space","postcode area","Average download speed (Mbit/s)","Maximum download speed (Mbit/s)","Minimum download speed (Mbit/s)","Average upload speed (Mbit/s)","Maximum upload speed (Mbit/s)","Minimum upload speed (Mbit/s)","Average data usage (GB)","All Premises","Connected Premises","lsoa_area","city"
"BS361DQ","BS36 1DQ","BS",3.74950407593037,4.39444915467244,1.79175946922805,1.87180217690159,3.04452243772342,0.587786664902119,4.04305126783455,10,10,"South Gloucestershire 017F","South Gloucestershire"
"BS361DT","BS36 1DT","BS",4.41642806139121,5.30330490805908,2.16332302566054,2.2082744135228,3.04452243772342,0.587786664902119,5.08759633523238,10,10,"South Gloucestershire 016D","South Gloucestershire"
"BS361DU","BS36 1DU","BS",4.59410923862867,5.30330490805908,2.9391619220656,2.46809953147162,3.04452243772342,0.78845736036427,5.32300997913841,22,22,"South Gloucestershire 016D","South Gloucestershire"
"BS361DX","BS36 1DX","BS",4.19720194766181,5.30330490805908,2.67414864942653,2.00148000021012,3.04452243772342,0.587786664902119,5.09375020080676,22,22,"South Gloucestershire 016D","South Gloucestershire"
"BS361DY","BS36 1DY","BS",3.98898404656427,5.30330490805908,2.45100509811232,2.06686275947298,2.99573227355399,0.405465108108164,5.18738580584075,23,23,"South Gloucestershire 016D","South Gloucestershire"
"BS361DZ","BS36 1DZ","BS",4.68675017298051,5.70711026474888,3.46573590279973,2.19722457733622,3.04452243772342,1.38629436111989,5.2040066870768,11,11,"South Gloucestershire 016D","South Gloucestershire"
"BS361EA","BS36 1EA","BS",4.38949864951258,5.30330490805908,2.37954613413017,1.93152141160321,2.56494935746154,0.832909122935104,5.25227342804663,12,12,"South Gloucestershire 016D","South Gloucestershire"
"BS361EB","BS36 1EB","BS",3.76120011569356,4.61512051684126,2.59525470695687,1.7227665977411,1.96009478404727,0.832909122935104,4.72738781871234,11,11,"South Gloucestershire 016B","South Gloucestershire"
"BS361ED","BS36 1ED","BS",4.13356527537538,4.67562864963665,2.50143595173921,1.88706964903238,2.55722731136763,0.587786664902119,4.97673374242057,26,26,"South Gloucestershire 016D","South Gloucestershire"
"BS361EE","BS36 1EE","BS",4.07753744390572,5.30330490805908,2.33214389523559,1.93152141160321,2.79116510781272,0.336472236621213,4.99043258677874,15,15,"South Gloucestershire 016D","South Gloucestershire"
"BS361EF","BS36 1EF","BS",4.3333614626926,5.30330490805908,2.55722731136763,2.18605127673809,2.56494935746154,0.741937344729377,5.73334127689775,18,18,"South Gloucestershire 016D","South Gloucestershire"
"BS361EG","BS36 1EG","BS",4.15418456257812,5.03043792139244,2.37024374146786,1.93152141160321,2.56494935746154,0.693147180559945,4.7361984483945,16,16,"South Gloucestershire 016D","South Gloucestershire"
"BS361EH","BS36 1EH","BS",4.36054760299676,5.30330490805908,3.09104245335832,2.23001440015921,3.01553490085017,0.832909122935104,5.39362754635236,10,10,"South Gloucestershire 016B","South Gloucestershire"
"BS361EJ","BS36 1EJ","BS",3.35340671782581,4.67562864963665,1.25276296849537,1.45861502269952,2.18605127673809,0.336472236621213,4.83628190695148,13,13,"South Gloucestershire 016B","South Gloucestershire"
"BS361EN","BS36 1EN","BS",4.31214050720972,5.30330490805908,1.62924053973028,1.7404661748405,2.56494935746154,0.262364264467491,5.2040066870768,30,30,"South Gloucestershire 016B","South Gloucestershire"
"BS361EP","BS36 1EP","BS",4.12390336446365,5.30330490805908,0.641853886172395,1.66770682055808,2.56494935746154,0.587786664902119,5.11799381241676,21,21,"South Gloucestershire 016D","South Gloucestershire"
"BS361EQ","BS36 1EQ","BS",4.15261347034608,5.30330490805908,2.02814824729229,1.82454929205105,2.56494935746154,0.693147180559945,5.19849703126583,8,8,"South Gloucestershire 016B","South Gloucestershire"
"BS361EW","BS36 1EW","BS",4.33990170837321,5.30330490805908,2.37024374146786,1.75785791755237,2.56494935746154,0.641853886172395,4.88280192258637,26,26,"South Gloucestershire 016D","South Gloucestershire"
"BS361HA","BS36 1HA","BS",4.33073334028633,5.30330490805908,2.51769647261099,1.7404661748405,2.56494935746154,0.78845736036427,3.91202300542815,7,7,"South Gloucestershire 016D","South Gloucestershire"
"BS361HB","BS36 1HB","BS",4.52720864451838,5.30330490805908,2.64617479738412,1.91692261218206,2.56494935746154,0.741937344729377,5.3082676974012,11,11,"South Gloucestershire 016D","South Gloucestershire"
"BS361HD","BS36 1HD","BS",4.1415461637064,5.30330490805908,2.39789527279837,1.94591014905531,2.56494935746154,0.336472236621213,5.60947179518496,29,29,"South Gloucestershire 016C","South Gloucestershire"
"BS361HE","BS36 1HE","BS",4.56538931597625,5.30330490805908,2.58776403522771,2.18605127673809,3.04452243772342,0.741937344729377,5.07517381523383,22,22,"South Gloucestershire 016C","South Gloucestershire"
"BS361HF","BS36 1HF","BS",4.66438204561994,5.30330490805908,2.70805020110221,2.14006616349627,2.56494935746154,0.693147180559945,5.7037824746562,20,20,"South Gloucestershire 016C","South Gloucestershire"
"BS361HG","BS36 1HG","BS",3.85651029549789,4.67562864963665,3.00568260440716,1.7227665977411,2.39789527279837,0.832909122935104,4.30406509320417,8,8,"South Gloucestershire 016D","South Gloucestershire"
"BS361HH","BS36 1HH","BS",4.77322377098434,5.30330490805908,2.87919845729804,2.2512917986065,2.56494935746154,0.693147180559945,5.47646355193151,15,15,"South Gloucestershire 016D","South Gloucestershire"
"BS361HL","BS36 1HL","BS",4.25561270981822,5.30330490805908,2.81540871942271,2.07944154167984,2.56494935746154,0.78845736036427,6.04973345523196,16,16,"South Gloucestershire 016D","South Gloucestershire"
"BS361HN","BS36 1HN","BS",4.33467293829041,5.01727983681492,3.04452243772342,2.50143595173921,3.04452243772342,0.832909122935104,5.86929691313377,12,12,"South Gloucestershire 016D","South Gloucestershire"
"BS361HP","BS36 1HP","BS",4.31615389052317,4.61512051684126,2.98061863574394,1.96009478404727,3.04452243772342,0.693147180559945,5.06890420222023,11,11,"South Gloucestershire 016D","South Gloucestershire"
"BS361HQ","BS36 1HQ","BS",4.42843300748804,5.30330490805908,1.30833281965018,2.02814824729229,2.77258872223978,0.53062825106217,5.62401750618734,30,30,"South Gloucestershire 016D","South Gloucestershire"
"BS361HR","BS36 1HR","BS",4.61611012602643,5.30330490805908,2.87919845729804,2.37024374146786,3.04452243772342,0.53062825106217,5.4553211153577,19,19,"South Gloucestershire 016D","South Gloucestershire"
"BS361HS","BS36 1HS","BS",4.00369019395397,4.67562864963665,1.16315080980568,2.05412373369555,3.04452243772342,0.470003629245736,5.26785815906333,33,33,"South Gloucestershire 016D","South Gloucestershire"
"BS361HT","BS36 1HT","BS",4.29592393562047,5.30330490805908,2.10413415427021,1.87180217690159,2.56494935746154,0.693147180559945,5.61677109766657,10,10,"South Gloucestershire 016D","South Gloucestershire"
"BS361HU","BS36 1HU","BS",4.2297491992283,5.30330490805908,2.76000994003292,1.93152141160321,2.56494935746154,0.693147180559945,4.52178857704904,11,11,"South Gloucestershire 016B","South Gloucestershire"
"BS361HW","BS36 1HW","BS",4.3993752730085,5.30330490805908,0.53062825106217,2.21920348405499,3.04452243772342,0.262364264467491,5.03043792139244,26,26,"South Gloucestershire 016C","South Gloucestershire"
"BS361HX","BS36 1HX","BS",4.45085282560373,5.30330490805908,2.58021682959233,1.96009478404727,2.56494935746154,0.741937344729377,5.11799381241676,29,29,"South Gloucestershire 016D","South Gloucestershire"
"BS361HY","BS36 1HY","BS",4.56642935767166,5.30330490805908,3.27714473299218,2.14006616349627,2.56494935746154,1.79175946922805,4.51085950651685,15,15,"South Gloucestershire 016D","South Gloucestershire"
"BS361HZ","BS36 1HZ","BS",4.37952350445576,5.30330490805908,2.89037175789616,1.88706964903238,2.56494935746154,0.741937344729377,4.89783979995091,15,15,"South Gloucestershire 016C","South Gloucestershire"
"BS361JA","BS36 1JA","BS",4.06560209335645,5.70711026474888,1.09861228866811,1.6094379124341,3.04452243772342,0.587786664902119,3.58351893845611,15,15,"South Gloucestershire 016C","South Gloucestershire"
"BS361JB","BS36 1JB","BS",4.39444915467244,4.61512051684126,3.71113006304876,2.09186406167839,2.32238772029023,1.94591014905531,5.97888576490112,8,8,"South Gloucestershire 016C","South Gloucestershire"
"BS361JD","BS36 1JD","BS",4.12390336446365,4.67562864963665,2.32238772029023,1.54756250871601,1.94591014905531,0.405465108108164,3.71357206670431,8,8,"South Gloucestershire 016C","South Gloucestershire"
"BS361JE","BS36 1JE","BS",4.34898678059568,5.30330490805908,2.98061863574394,1.87180217690159,2.56494935746154,0.336472236621213,4.39444915467244,17,17,"South Gloucestershire 016C","South Gloucestershire"
"BS361JF","BS36 1JF","BS",4.37952350445576,5.30330490805908,2.85070650150373,1.7404661748405,2.56494935746154,0.693147180559945,4.33073334028633,12,12,"South Gloucestershire 016C","South Gloucestershire"
"BS361JG","BS36 1JG","BS",4.50645421304893,5.30330490805908,2.91777073208428,2.05412373369555,2.56494935746154,0.741937344729377,5.12989871492307,6,6,"South Gloucestershire 016C","South Gloucestershire"
"BS361JH","BS36 1JH","BS",4.17592454921452,5.01727983681492,1.09861228866811,2.11625551480255,2.43361335540045,0.587786664902119,5.08759633523238,7,7,"South Gloucestershire 016C","South Gloucestershire"
"BS361JJ","BS36 1JJ","BS",4.7999142627806,5.30330490805908,2.9391619220656,2.40694510831829,3.04452243772342,0.693147180559945,5.42934562895444,8,8,"South Gloucestershire 016C","South Gloucestershire"
"BS361JN","BS36 1JN","BS",4.14630430115281,5.01727983681492,2.65324196460721,2.15176220325946,3.04452243772342,0.641853886172395,4.63472898822964,24,24,"South Gloucestershire 016C","South Gloucestershire"
"BS361JP","BS36 1JP","BS",4.46014441393783,5.30330490805908,2.72785282839839,2.31253542384721,3.04452243772342,0.832909122935104,5.37989735354046,6,6,"South Gloucestershire 016C","South Gloucestershire"
"BS361JQ","BS36 1JQ","BS",3.40452517175483,3.93963817246112,2.72785282839839,1.87180217690159,2.91235066461494,0.587786664902119,4.7361984483945,8,8,"South Gloucestershire 016C","South Gloucestershire"
"BS361JT","BS36 1JT","BS",4.40305400186596,5.30330490805908,3.34638914516716,2.33214389523559,3.04452243772342,1.38629436111989,5.57594910314632,31,31,"South Gloucestershire 016C","South Gloucestershire"
"BS361JW","BS36 1JW","BS",4.72295322164447,5.30330490805908,2.21920348405499,2.23001440015921,3.04452243772342,0.693147180559945,5.79909265446053,10,10,"South Gloucestershire 016C","South Gloucestershire"
"BS361JX","BS36 1JX","BS",4.68398136641238,5.30330490805908,2.72785282839839,2.02814824729229,2.56494935746154,0.78845736036427,4.02535169073515,8,8,"South Gloucestershire 016C","South Gloucestershire"
"BS361JY","BS36 1JY","BS",3.87120101090789,4.61512051684126,2.58776403522771,2.21920348405499,3.04452243772342,0.587786664902119,5.27811465923052,26,26,"South Gloucestershire 016C","South Gloucestershire"
"BS361JZ","BS36 1JZ","BS",4.27249074760558,5.01727983681492,2.31253542384721,2.01490302054226,2.87919845729804,0.693147180559945,5.14749447681345,18,18,"South Gloucestershire 016C","South Gloucestershire"
"BS361LA","BS36 1LA","BS",4.58394654953646,5.30330490805908,2.77881927199042,2.10413415427021,3.04452243772342,0.693147180559945,5.32787616878958,21,21,"South Gloucestershire 016C","South Gloucestershire"
"BS361LB","BS36 1LB","BS",4.26829786934554,5.30330490805908,2.70136121295141,2.14006616349627,3.04452243772342,0.741937344729377,5.36129216570943,24,24,"South Gloucestershire 016C","South Gloucestershire"
"BS361LD","BS36 1LD","BS",4.22097721315547,5.01727983681492,2.26176309847379,1.97408102602201,3.04452243772342,0.693147180559945,4.12713438504509,12,12,"South Gloucestershire 016D","South Gloucestershire"
"BS361LE","BS36 1LE","BS",4.74232002413533,5.30330490805908,2.88480071284671,2.26176309847379,3.04452243772342,0.693147180559945,4.969813299576,18,18,"South Gloucestershire 016B","South Gloucestershire"
"BS361LF","BS36 1LF","BS",4.21064501791826,4.67562864963665,1.96009478404727,2.18605127673809,3.04452243772342,0.405465108108164,4.55387689160054,12,12,"South Gloucestershire 016B","South Gloucestershire"
"BS361LG","BS36 1LG","BS",4.5358201078533,5.30330490805908,2.98568193770049,1.90210752639692,2.56494935746154,0.741937344729377,5.94803498918065,17,17,"South Gloucestershire 016C","South Gloucestershire"
"BS361LH","BS36 1LH","BS",3.67122451887522,4.26267987704132,2.61739583283408,1.25276296849537,1.79175946922805,0.587786664902119,4.60517018598809,5,5,"South Gloucestershire 016B","South Gloucestershire"
"BS361LL","BS36 1LL","BS",3.81990771652034,4.61512051684126,2.72785282839839,1.70474809223843,2.39789527279837,0.693147180559945,5.86078622346587,7,7,"South Gloucestershire 016B","South Gloucestershire"
"BS361LN","BS36 1LN","BS",4.22683374526818,5.30330490805908,2.10413415427021,1.77495235091167,2.56494935746154,0.470003629245736,4.18965474202643,22,22,"South Gloucestershire 016B","South Gloucestershire"
"BS361LQ","BS36 1LQ","BS",4.51633897228148,5.30330490805908,3.58351893845611,2.3887627892351,3.04452243772342,1.38629436111989,5.57972982598622,10,10,"South Gloucestershire 016B","South Gloucestershire"
"BS361LR","BS36 1LR","BS",4.12552017969055,4.39444915467244,2.87919845729804,2.7408400239252,3.04452243772342,0.78845736036427,5.8805329864007,7,7,"South Gloucestershire 016B","South Gloucestershire"
"BS361LU","BS36 1LU","BS",4.39197696552705,5.30330490805908,0.955511445027436,1.85629799036563,2.56494935746154,0.587786664902119,5.11799381241676,29,29,"South Gloucestershire 016C","South Gloucestershire"
"BS361LW","BS36 1LW","BS",3.65583960003574,5.30330490805908,1.96009478404727,1.43508452528932,2.56494935746154,0.405465108108164,4.39444915467244,28,28,"South Gloucestershire 016B","South Gloucestershire"
"BS361LX","BS36 1LX","BS",4.32545628318549,5.30330490805908,2.72785282839839,1.84054963339749,2.56494935746154,0.78845736036427,5.81413053182507,23,23,"South Gloucestershire 016B","South Gloucestershire"
"BS361LY","BS36 1LY","BS",4.34510328056928,5.30330490805908,2.28238238567653,1.7227665977411,2.56494935746154,0.693147180559945,3.91202300542815,17,17,"South Gloucestershire 016A","South Gloucestershire"
"BS361LZ","BS36 1LZ","BS",4.64053732982538,5.30330490805908,2.85070650150373,2.00148000021012,2.56494935746154,0.587786664902119,3.49650756146648,21,21,"South Gloucestershire 016A","South Gloucestershire"
"BS361NA","BS36 1NA","BS",4.31615389052317,5.30330490805908,2.02814824729229,1.7404661748405,2.56494935746154,0.336472236621213,4.70953020131233,31,31,"South Gloucestershire 016B","South Gloucestershire"
"BS361NB","BS36 1NB","BS",4.11087386417331,5.30330490805908,0.262364264467491,1.7404661748405,3.04452243772342,0.262364264467491,5.21493575760899,30,30,"South Gloucestershire 016B","South Gloucestershire"
